name,annotated_assign_count,annotated_func_params_count,annotated_func_returns_count,total_assign_count,total_func_params_count,total_func_returns_count,unannotated_assign_count,unannotated_func_params_count,unannotated_func_returns_count,py_code_loc,py_code_loc_ratio,py_docstring_loc,py_docstring_loc_ratio,py_comment_loc,py_comment_loc_ratio,py_empty_loc,py_empty_loc_ratio,pylint_convention_msg,pylint_refactor_msg,pylint_warning_msg,pylint_error_msg,py_non_empty_loc,pylint_score,cyclomatic_complexity,cognitive_complexity,bug_score
google/TensorNetwork,0,1907,867,10355,4814,2551,10355,2907,1684,27144,0.6393,7538,0.1775,2152,0.0507,5626,0.1325,6119,436,19569,143,36834,0.0,4699,4795,245
tdorssers/TeslaPy,0,0,0,438,287,160,438,287,160,2017,0.7559999999999999,317,0.1188,121,0.0454,213,0.07980000000000001,103,40,41,20,2455,8.35,503,842,12
eddiejessup/Transcrypt,0,0,0,393,259,118,393,259,118,2229,0.7935,58,0.0206,122,0.0434,400,0.1424,305,31,49,122,2409,0.97,329,553,1
its-rigs/Trolly,0,0,0,213,358,165,213,358,165,1021,0.4593,535,0.2407,229,0.10300000000000001,438,0.19699999999999998,172,28,28,2,1785,6.65,257,158,20
ChristophSchranz/Tweaker-3,0,0,0,483,135,82,483,135,82,1135,0.69,150,0.09119999999999999,134,0.0815,226,0.1374,321,47,354,46,1419,0.55,230,482,14
AWehenkel/UMNN,0,0,0,1709,858,278,1709,858,278,4061,0.6679,432,0.0711,322,0.053,1265,0.20809999999999998,1227,212,131,97,4815,4.29,683,1059,0
Ulauncher/Ulauncher,6,74,66,1176,1543,751,1170,1469,685,5646,0.6564,962,0.1118,390,0.0453,1603,0.1864,1220,14,92,82,6998,6.4,1655,1115,166
andreamad8/Universal-Transformer-Pytorch,0,0,0,227,154,35,227,154,35,506,0.5692,160,0.18,76,0.0855,147,0.1654,265,44,18,14,742,1.04,86,132,7
aviaryan/VSCodeNotebook,0,0,0,224,147,76,224,147,76,719,0.5318,123,0.091,233,0.1723,277,0.20489999999999997,136,17,198,3,1075,4.46,183,293,4
Nicholasli1995/VisualizingNDF,0,0,0,830,369,142,830,369,142,2108,0.6909000000000001,266,0.0872,417,0.1367,260,0.0852,727,116,41,52,2791,3.9,355,592,0
WeBankBlockchain/WeBASE-Doc,0,0,0,68,4,2,68,4,2,123,0.1602,66,0.0859,399,0.5195000000000001,180,0.23440000000000003,40,4,16,4,588,1.21,2,0,204
tillsteinbach/WeConnect-mqtt,0,0,0,162,64,21,162,64,21,662,0.862,24,0.031200000000000002,2,0.0026,80,0.1042,208,5,1,6,688,5.75,170,410,31
JackWink/Weather,0,0,0,85,82,53,85,82,53,441,0.6255,111,0.1574,18,0.0255,135,0.19149999999999998,68,19,19,2,570,6.95,113,113,5
zebpalmer/WeatherAlerts,0,0,0,178,98,74,178,98,74,852,0.6183,186,0.135,157,0.1139,183,0.1328,155,14,29,0,1195,6.03,163,214,28
openedx/XBlock,0,0,0,1236,1297,721,1236,1297,721,5512,0.4951,3053,0.2743,702,0.06309999999999999,1865,0.1675,414,122,10,34,9267,8.4,1404,838,108
HaloTrouvaille/YOLO-Multi-Backbones-Attention,0,0,0,1404,513,195,1404,513,195,3536,0.674,149,0.028399999999999998,632,0.12050000000000001,929,0.1771,1232,114,190,50,4317,4.37,869,1904,0
MadryLab/mnist_challenge,0,0,0,166,30,16,166,30,16,470,0.6994,27,0.04019999999999999,39,0.057999999999999996,136,0.2024,66,10,297,12,536,0.0,56,61,2
modoboa/modoboa-amavis,0,1,0,771,326,161,771,325,161,2847,0.6165999999999999,739,0.16010000000000002,302,0.0654,729,0.15789999999999998,212,49,78,110,3888,5.29,411,586,43
corelan/mona,0,0,0,6166,639,363,6166,639,363,14978,0.7785,1234,0.0641,1102,0.057300000000000004,1925,0.1001,4352,641,15027,59,17314,0.0,2559,19487,36
trix-solutions/moncli,11,245,3,3631,1550,983,3620,1305,980,8776,0.40299999999999997,7729,0.3549,1337,0.061399999999999996,3934,0.1807,2932,169,651,100,17842,4.24,1240,1518,57
ProdPerfect/monday,0,0,0,151,245,128,151,245,128,1099,0.8140999999999999,20,0.0148,16,0.011899999999999999,215,0.1593,214,20,23,0,1135,4.98,138,21,6
OpenChemistry/mongochemserver,0,0,0,1179,630,243,1179,630,243,3751,0.6618999999999999,513,0.09050000000000001,320,0.0565,1083,0.1911,541,108,152,180,4584,3.89,813,899,54
impliedchaos/mopidy-bandcamp,0,0,0,283,74,38,283,74,38,985,0.8008,160,0.1301,12,0.0098,73,0.0593,113,31,17,8,1157,7.09,277,530,10
Prior99/mopidy-subidy,0,0,0,135,202,107,135,202,107,958,0.8153,43,0.0366,6,0.0051,168,0.14300000000000002,144,15,54,13,1007,5.76,278,294,5
google/mozc-devices,0,0,0,206,130,61,206,130,61,765,0.5390999999999999,311,0.2192,190,0.13390000000000002,153,0.10779999999999999,78,13,579,11,1266,0.0,140,230,2
mozilla-services/mozilla-pipeline-schemas,0,29,14,154,79,65,154,50,51,793,0.6537999999999999,169,0.1393,45,0.0371,206,0.1698,77,2,23,12,1007,7.04,115,92,82
donnm/mtk_fw_tools,0,0,0,131,3,4,131,3,4,340,0.5724,85,0.1431,89,0.14980000000000002,80,0.13470000000000001,100,15,24,3,514,5.35,71,142,12
bityigoss/mtl-text-recognition,0,0,0,799,238,89,799,238,89,1977,0.7333,156,0.0579,133,0.0493,430,0.1595,443,114,121,52,2266,4.78,331,561,2
berkerpeksag/murl,0,0,0,72,44,37,72,44,37,241,0.6620999999999999,29,0.0797,25,0.0687,69,0.18960000000000002,43,1,3,0,295,7.64,50,19,3
ChristopherRogers1991/mycroft-hue,0,1,0,82,37,23,82,36,23,320,0.6584,108,0.22219999999999998,1,0.0021,57,0.1173,36,8,8,8,429,6.36,69,171,17
ooreilly/mydocstring,0,6,3,338,150,112,338,144,109,1012,0.4747,729,0.3419,156,0.0732,235,0.11019999999999999,158,26,41,4,1897,7.23,321,313,4
