name,annotated_assign_count,annotated_func_params_count,annotated_func_returns_count,total_assign_count,total_func_params_count,total_func_returns_count,unannotated_assign_count,unannotated_func_params_count,unannotated_func_returns_count,py_code_loc,py_code_loc_ratio,py_docstring_loc,py_docstring_loc_ratio,py_comment_loc,py_comment_loc_ratio,py_empty_loc,py_empty_loc_ratio,pylint_convention_msg,pylint_refactor_msg,pylint_warning_msg,pylint_error_msg,py_non_empty_loc,pylint_score,cyclomatic_complexity,cognitive_complexity,bug_score
kachayev/fn.py,0,0,0,331,579,345,331,579,345,1746,0.6082,506,0.17620000000000002,121,0.0421,498,0.17350000000000002,572,55,88,87,2373,3.03,386,321,20
Terbau/fortnitepy,0,1110,1035,2921,2429,1225,2921,1319,190,8973,0.519,5606,0.3243,282,0.0163,2428,0.1404,1014,165,351,32,14861,7.43,2957,4933,93
johnaparker/fplanck,0,0,0,356,87,54,356,87,54,821,0.6679999999999999,109,0.08869999999999999,28,0.022799999999999997,271,0.2205,187,16,50,9,958,5.93,81,97,4
hersonls/frango,0,0,0,35,9,5,35,9,5,130,0.4643,62,0.2214,17,0.060700000000000004,71,0.2536,14,4,5,9,209,1.28,21,5,3
frappe/frappe-client,0,0,0,82,96,37,82,96,37,326,0.5811,144,0.25670000000000004,4,0.0070999999999999995,87,0.1551,55,8,241,4,474,0.0,87,105,4
ebanalyse/fuzzup,0,51,22,357,105,80,357,54,58,4728,0.518,3821,0.41859999999999997,181,0.019799999999999998,397,0.0435,486,23,100,23,8730,1.46,201,277,23
alphagov/gapy,0,0,0,97,146,71,97,146,71,547,0.6236999999999999,142,0.16190000000000002,14,0.016,174,0.1984,77,15,15,10,703,5.82,109,76,10
astroML/gatspy,0,0,0,1302,961,405,1302,961,405,4290,0.5222,1858,0.2262,834,0.1015,1233,0.1501,860,128,217,79,6982,5.74,1087,2041,17
NCI-GDC/gdcdictionary,0,0,0,68,57,32,68,57,32,356,0.5624,147,0.2322,24,0.0379,106,0.1675,45,4,19,5,527,6.37,95,144,250
amsehili/genRSS,0,0,0,77,18,5,77,18,5,260,0.4127,287,0.4556,19,0.0302,64,0.1016,91,8,18,1,566,4.63,73,306,0
ros/genmsg,0,0,0,477,201,132,477,201,132,1924,0.5333,422,0.11699999999999999,822,0.2278,440,0.122,610,41,99,5,3168,5.42,649,564,61
wrf/genomeGTFtools,0,0,0,995,256,79,995,256,79,2805,0.6706,462,0.1104,594,0.142,322,0.077,879,147,2657,15,3861,0.0,678,1940,23
Erechtheus/geolocation,0,0,0,1216,164,74,1216,164,74,2302,0.6448,202,0.056600000000000004,340,0.09519999999999999,726,0.2034,725,84,94,70,2844,3.92,224,296,4
TyVik/geopuzzle,100,110,144,968,473,258,868,363,114,3869,0.7234,319,0.0596,108,0.0202,1052,0.1967,725,140,65,312,4296,0.72,617,614,28
Minyall/gephi_twitter_media_downloader,0,0,0,48,14,7,48,14,7,215,0.8051999999999999,3,0.011200000000000002,7,0.0262,42,0.1573,41,4,8,2,225,6.61,50,131,11
ShuhuaGao/geppy,0,0,0,247,242,123,247,242,123,946,0.3766,1098,0.4371,172,0.06849999999999999,296,0.11779999999999999,403,29,44,4,2216,3.82,286,355,3
karellen/geventmp,3,4,0,189,169,97,186,165,97,1022,0.5813,58,0.033,338,0.1923,340,0.1934,197,8,74,41,1418,4.78,178,261,6
zackelia/ghidra-dark,0,20,5,79,39,21,79,19,16,362,0.5867,158,0.2561,16,0.0259,81,0.1313,31,10,7,0,536,8.37,94,163,7
kootenpv/gittyleaks,0,0,0,60,18,16,60,18,16,236,0.7087,31,0.0931,7,0.021,59,0.1772,64,6,9,4,274,4.92,68,118,3
furkanmtorun/gnomad_python_api,0,0,0,89,30,6,89,30,6,1570,0.8996999999999999,0,0.0,66,0.0378,109,0.0625,209,27,46,3,1636,2.57,144,354,2
NaturalHistoryMuseum/gouda,0,0,0,285,198,124,285,198,124,1373,0.6335999999999999,189,0.0872,196,0.0904,409,0.1887,195,55,51,20,1758,6.1,332,411,6
EleutherAI/gpt-neo,0,0,0,905,374,131,905,374,131,2365,0.6788,239,0.06860000000000001,225,0.0646,655,0.188,547,57,127,52,2829,4.86,353,856,116
DavideGalilei/gpytranslate,22,54,9,81,73,35,59,19,26,563,0.42719999999999997,584,0.44310000000000005,13,0.009899999999999999,158,0.1199,66,13,1,10,1160,5.47,114,68,14
EverWinter23/graphene-gis,0,0,0,65,35,28,65,35,28,132,0.6168,33,0.1542,1,0.004699999999999999,48,0.2243,25,4,6,6,166,1.22,34,3,5
mhsabbagh/green-recorder,0,0,0,5,1,0,5,1,0,25,0.8065000000000001,0,0.0,1,0.0323,5,0.1613,7,0,5,0,26,1.43,2,1,18
Blockstream/green_cli,0,42,28,427,415,235,427,373,207,1934,0.6929000000000001,290,0.1039,130,0.0466,437,0.1566,221,26,107,72,2354,5.02,362,473,5
orliesaurus/greetingslack,0,0,0,28,11,10,28,11,10,82,0.6777,5,0.041299999999999996,8,0.0661,26,0.21489999999999998,32,1,25,3,95,0.52,15,27,7
GimelStudio/gsnodegraph,0,4,40,394,359,166,394,355,126,1283,0.6004,165,0.07719999999999999,284,0.1329,405,0.1895,455,44,50,18,1732,4.21,344,389,19
Limych/ha-beward,4,12,35,145,86,50,141,74,15,646,0.7323999999999999,87,0.0986,11,0.0125,138,0.1565,10,9,5,42,744,4.53,115,164,42
r-renato/ha-climacell-weather,0,0,0,236,54,22,236,54,22,1290,0.6,634,0.2949,59,0.0274,167,0.07769999999999999,25,17,43,111,1983,0.0,106,256,20
swingerman/ha-dual-smart-thermostat,3,6,3,278,143,74,275,137,71,1294,0.7487999999999999,140,0.081,45,0.026000000000000002,249,0.1441,16,19,38,44,1479,6.39,281,337,10
mavrikkk/ha_kettler,0,8,5,376,339,188,376,331,183,1358,0.78,31,0.0178,42,0.0241,310,0.17809999999999998,357,44,130,34,1431,3.87,449,689,0
HuyaneMatsu/hata,27,21,0,25815,10994,5580,25788,10973,5580,89800,0.4693,69582,0.3636,3090,0.0161,28879,0.1509,42862,1712,2168,963,162472,2.53,21902,47120,258
jnikula/hawkmoth,0,0,0,310,166,90,310,166,90,1027,0.5261,154,0.0789,333,0.17059999999999997,438,0.22440000000000002,130,23,38,19,1514,6.55,192,314,57
HBLink-org/hblink3,0,0,0,635,245,68,635,245,68,2038,0.5704,453,0.1268,611,0.171,471,0.1318,878,85,135,39,3102,2.45,595,1785,15
dask/hdfs3,0,0,0,878,355,231,878,355,231,3905,0.6420999999999999,956,0.1572,395,0.0649,826,0.1358,531,71,185,18,5256,6.76,794,1149,26
nf-core/hic,0,0,0,413,77,42,413,77,42,1303,0.6406000000000001,294,0.1445,169,0.08310000000000001,268,0.1318,396,52,124,5,1766,4.68,366,966,36
iktakahiro/hipchatpy,0,0,0,28,24,7,28,24,7,91,0.5084000000000001,39,0.21789999999999998,6,0.0335,43,0.2402,20,3,3,0,136,6.0,18,43,3
eleweek/histsync,0,0,0,103,32,55,103,32,55,409,0.5640999999999999,90,0.1241,58,0.08,168,0.23170000000000002,124,5,12,37,557,0.0,45,47,12
zerwes/hiyapyco,0,0,0,251,60,26,251,60,26,1570,0.7361,157,0.0736,66,0.030899999999999997,340,0.1594,311,26,162,12,1793,4.56,270,343,39
shortbloke/home_assistant_config,0,4,0,346,233,137,346,229,137,1512,0.6933,281,0.1288,69,0.0316,319,0.1463,104,26,31,26,1862,7.22,336,468,18
joggs/home_assistant_ebeco,3,1,23,104,141,89,101,140,66,643,0.6797,120,0.1268,5,0.0053,178,0.1882,18,6,5,19,768,7.09,129,102,9
cathiele/homeassistant-goecharger,0,6,1,129,64,29,129,58,28,507,0.6679999999999999,128,0.1686,2,0.0026,122,0.1607,102,12,32,20,637,3.09,44,212,31
tomaae/homeassistant-truenas,22,6,26,336,159,85,314,153,59,1886,0.6714,389,0.13849999999999998,201,0.0716,333,0.1185,28,20,6,161,2476,0.62,311,645,5
microprediction/humpday,1,72,51,793,842,313,792,770,262,2749,0.6442,328,0.07690000000000001,147,0.0345,1043,0.2444,999,96,326,28,3224,3.45,584,940,8
DadosAbertosDeFeira/iac,0,0,0,6,3,3,6,3,3,27,0.6429,0,0.0,0,0.0,15,0.35710000000000003,24,0,0,3,27,0.0,6,0,8
IBM/ibm-spectrum-scale-bridge-for-grafana,4,2,6,574,330,208,570,328,202,1904,0.6527,456,0.1563,68,0.0233,489,0.16760000000000003,671,41,66,20,2428,4.94,666,957,26
opsdis/icinga2-exporter,0,20,15,142,80,54,142,60,39,536,0.5019,296,0.2772,40,0.0375,196,0.18350000000000002,96,18,19,7,872,6.25,141,262,5
ValentinBELYN/icmplib,0,0,0,210,216,98,210,216,98,938,0.3057,1574,0.513,161,0.0525,395,0.12869999999999998,25,18,46,0,2673,8.74,223,407,12
moroen/ikea-tradfri,0,0,0,211,139,91,211,139,91,1161,0.7084,76,0.0464,47,0.0287,355,0.21660000000000001,237,24,63,24,1284,4.97,221,508,2
ralphje/imagemounter,0,0,0,822,600,296,822,600,296,3799,0.6435,681,0.1153,373,0.0632,1051,0.17800000000000002,840,103,258,19,4853,6.04,1187,2430,29
imperva/incapsula-cli,0,8,0,618,225,170,618,217,170,2893,0.753,364,0.0947,121,0.0315,464,0.1208,1053,191,74,7,3378,4.39,620,1257,4
RPing/influx-prompt,0,0,0,148,55,48,148,55,48,703,0.6339,245,0.22089999999999999,8,0.0072,153,0.138,91,12,27,9,956,5.7,90,131,25
tnychn/instascrape,0,143,132,506,429,238,506,286,106,2207,0.6856,378,0.1174,143,0.0444,491,0.1525,497,50,137,3,2728,6.47,595,1202,1
dchrostowski/investopedia_simulator_api,0,38,0,438,308,148,438,270,148,1440,0.7066,187,0.09179999999999999,64,0.031400000000000004,347,0.1703,334,60,76,30,1691,4.85,313,403,16
otfried/ipe-tools,0,0,0,756,240,114,756,240,114,2075,0.7053,149,0.0506,269,0.09140000000000001,449,0.15259999999999999,835,60,1279,18,2493,0.0,495,841,9
oddball/ipxact2systemverilog,0,0,0,238,148,62,238,148,62,913,0.8284999999999999,24,0.0218,33,0.029900000000000003,132,0.1198,623,20,16,2,970,1.64,194,359,14
rossant/ipycache,0,0,0,107,71,41,107,71,41,465,0.6078,91,0.11900000000000001,73,0.09539999999999998,136,0.1778,62,7,37,4,629,6.72,86,149,16
widgetti/ipyvuetify,0,0,0,181,62,46,181,62,46,601,0.6126,101,0.10300000000000001,46,0.046900000000000004,233,0.2375,102,12,17,54,748,0.99,89,134,49
Emily3403/isisdl,184,285,273,1049,446,280,865,161,7,4282,0.6761,158,0.024900000000000002,398,0.06280000000000001,1495,0.2361,711,81,194,25,4838,6.94,1197,2093,31
tiangolo/issue-manager,17,10,5,36,12,6,19,2,1,136,0.8293,4,0.024399999999999998,2,0.012199999999999999,22,0.1341,13,6,15,6,142,3.96,36,85,5
scrapy/itemadapter,28,70,77,181,209,150,153,139,73,1263,0.7373000000000001,105,0.0613,10,0.0058,335,0.1956,174,19,14,11,1378,7.28,222,135,3
mthh/jenkspy,0,0,0,55,26,17,55,26,17,246,0.6890999999999999,42,0.1176,24,0.0672,45,0.1261,49,6,18,3,312,5.67,65,80,1
autopkg/jessepeterson-recipes,0,0,0,148,37,21,148,37,21,444,0.5751,105,0.136,46,0.0596,177,0.2293,103,12,27,15,595,3.96,81,125,11
pythonindia/junction,0,0,0,1624,658,341,1624,658,341,8858,0.7354999999999999,990,0.08220000000000001,318,0.0264,1877,0.1559,818,389,114,388,10166,1.46,889,796,129
weiwei/junitparser,0,0,0,448,244,165,448,244,165,1465,0.7084,162,0.0783,112,0.0542,329,0.1591,157,29,40,3,1739,8.04,290,276,23
manics/jupyter-offlinenotebook,0,0,0,72,32,24,72,32,24,401,0.6489,86,0.1392,40,0.0647,91,0.1472,52,4,17,9,527,5.06,56,31,8
targodan/jupyter-swi-prolog,0,0,0,44,9,6,44,9,6,198,0.7857,14,0.0556,7,0.0278,33,0.131,31,1,10,4,219,4.1,28,58,2
jupyter/jupyter_kernel_test,0,0,0,154,39,25,154,39,25,560,0.5426,205,0.1986,71,0.0688,196,0.18989999999999999,29,3,8,0,836,9.0,106,164,24
jupyterlab/jupyterlab-latex,0,0,0,193,98,60,193,98,60,716,0.5035000000000001,436,0.3066,58,0.0408,212,0.1491,82,7,22,1,1210,8.02,154,360,36
jtpio/jupyterlab-python-file,0,0,0,17,0,2,17,0,2,80,0.6667000000000001,14,0.1167,3,0.025,23,0.1917,12,0,0,0,97,7.14,7,10,0
elimintz/justpy,0,8,0,1742,847,431,1742,839,431,4386,0.6443000000000001,888,0.1305,330,0.048499999999999995,1203,0.17670000000000002,1507,55,252,66,5604,4.4,944,1577,0
antoineco/kOVHernetes,0,0,0,192,97,49,192,97,49,910,0.594,305,0.1991,65,0.0424,252,0.16449999999999998,172,9,64,8,1280,5.71,162,317,1
apostvav/kannel_exporter,0,11,9,131,37,25,131,26,16,481,0.7365999999999999,40,0.0613,32,0.049,100,0.1531,30,0,3,0,553,9.17,80,173,13
JDASoftwareGroup/kartothek,20,773,207,5568,4466,1899,5548,3693,1692,26081,0.6263000000000001,8940,0.2147,1190,0.0286,5433,0.1305,2372,430,885,226,36211,6.37,4525,4886,146
XayOn/katcr,0,6,0,106,67,47,106,61,47,413,0.6413,94,0.146,4,0.0062,133,0.2065,57,5,11,15,511,5.67,100,61,10
mon/kbinxml,0,0,0,188,90,45,188,90,45,587,0.7795000000000001,13,0.0173,39,0.0518,114,0.1514,102,13,35,33,639,3.33,131,206,4
seanbreckenridge/keepassxc-pwned,26,18,15,151,98,72,125,80,57,772,0.6620999999999999,124,0.1063,45,0.038599999999999995,225,0.193,121,11,89,14,941,5.02,190,135,7
asahi417/kex,0,102,0,506,258,116,506,156,116,1447,0.5424,760,0.2849,84,0.0315,377,0.1413,413,61,48,22,2291,4.94,375,402,23
tomer8007/kik-bot-api-unofficial,8,154,34,4576,1011,411,4568,857,377,12054,0.8008,992,0.0659,387,0.025699999999999997,1620,0.1076,1360,800,408,130,13433,2.69,1240,1326,40
rchakode/kube-opex-analytics,1,0,0,260,68,49,259,68,49,692,0.7456999999999999,72,0.0776,30,0.0323,134,0.1444,168,21,16,5,794,6.37,207,453,48
vchinnipilli/kubestriker,0,0,0,857,346,142,857,346,142,2772,0.8418000000000001,273,0.08289999999999999,48,0.0146,200,0.060700000000000004,462,181,58,13,3093,6.89,781,2312,2
OCA/l10n-france,0,0,0,1247,344,194,1247,344,194,5029,0.6731999999999999,1316,0.17620000000000002,477,0.0639,648,0.0867,352,125,88,205,6822,4.15,1117,1722,63
sarvjeets/lakshmi,6,0,0,832,731,438,826,731,438,4267,0.6175999999999999,1588,0.2298,142,0.0206,912,0.132,324,50,127,25,5997,7.88,712,597,49
QuiNovas/lambda-setuptools,0,0,0,55,24,18,55,24,18,392,0.7856000000000001,42,0.0842,23,0.0461,42,0.0842,51,6,15,6,457,5.57,89,139,9
makinacorpus/landez,0,0,0,360,228,107,360,228,107,1098,0.7148,157,0.10220000000000001,73,0.0475,208,0.1354,300,30,74,8,1328,5.52,227,243,19
Netflix/lemur,0,1,1,6190,3297,1723,6190,3296,1722,22121,0.5468999999999999,11424,0.2824,1039,0.025699999999999997,5867,0.145,2397,479,939,522,34584,5.69,3984,6122,499
ProtonVPN/linux-app,145,1052,788,3207,3651,2216,3062,2599,1428,15623,0.5325,8755,0.2984,192,0.006500000000000001,4771,0.16260000000000002,1488,337,505,168,24570,7.38,2386,3611,70
liquidctl/liquidctl,0,0,0,2262,1708,864,2262,1708,864,8564,0.5978,2309,0.1612,497,0.0347,2955,0.20629999999999998,920,122,646,67,11370,7.21,2283,2164,240
el-tocino/localcroft,0,0,0,170,137,77,170,137,77,578,0.638,132,0.1457,50,0.0552,146,0.1611,106,30,45,18,760,4.63,136,122,5
adrienverge/localstripe,0,1,0,758,601,197,758,600,197,2867,0.7523000000000001,88,0.0231,206,0.0541,650,0.17059999999999997,402,115,396,7,3161,5.99,1072,1745,68
resurfaceio/logger-python,61,57,55,557,191,174,496,134,119,3129,0.7268000000000001,447,0.1038,136,0.0316,593,0.1377,278,35,29,7,3712,8.34,877,592,80
brandon-rhodes/logging_tree,0,0,0,63,38,34,63,38,34,446,0.5931000000000001,210,0.2793,10,0.013300000000000001,86,0.1144,68,11,5,1,666,6.68,72,97,3
logpai/loglizer,0,0,0,452,192,60,452,192,60,1091,0.5904,460,0.2489,66,0.035699999999999996,231,0.125,421,52,38,16,1617,3.92,220,340,1
Boulder-Investment-Technologies/lppls,0,0,0,221,101,34,221,101,34,21,0.7,5,0.16670000000000001,0,0.0,4,0.1333,2,0,1,0,26,2.5,97,111,11
joshschmelzle/lswifi,4,19,35,1237,370,228,1233,351,193,5059,0.644,1527,0.19440000000000002,374,0.047599999999999996,895,0.1139,573,125,171,41,6960,6.62,974,2056,15
airsplay/lxmert,0,43,5,1131,545,214,1131,502,209,3228,0.6419,560,0.1114,427,0.0849,814,0.16190000000000002,501,173,122,68,4215,5.88,756,1204,0
flo/m3addon,0,0,0,5265,1681,695,5265,1681,695,10740,0.8034,96,0.0072,456,0.0341,2077,0.15539999999999998,6948,295,432,43,11292,2.33,2028,4159,39
HurricaneLabs/machinae,0,1,0,278,111,60,278,110,60,952,0.7403,28,0.0218,84,0.0653,222,0.1726,153,29,18,9,1064,7.09,308,629,9
chris104957/maildown,0,30,9,79,76,39,79,46,30,445,0.6506000000000001,99,0.1447,4,0.0058,136,0.19879999999999998,66,15,10,24,548,3.66,77,62,9
phin3has/mailoney,0,0,0,109,62,31,109,62,31,424,0.7126,34,0.0571,49,0.0824,88,0.1479,106,5,26,15,507,4.54,78,168,5
mapbox/mapboxgl-jupyter,0,0,0,330,283,122,330,283,122,1715,0.6328,351,0.1295,179,0.0661,465,0.1716,447,41,113,9,2245,2.62,212,250,19
mara/mara-app,1,24,16,36,43,52,35,19,36,385,0.5789,123,0.185,15,0.0226,142,0.21350000000000002,70,2,13,12,523,4.01,59,153,28
ustwo/mastermind,0,0,0,239,156,172,239,156,172,1214,0.5879,297,0.1438,39,0.0189,515,0.2494,234,9,34,40,1550,4.63,263,259,11
graykode/matorage,0,0,0,958,506,287,958,506,287,4302,0.5382,1608,0.20120000000000002,937,0.11720000000000001,1147,0.1435,585,134,151,107,6847,5.12,813,1078,110
multiSnow/mcomix3,0,0,0,3677,2479,1238,3677,2479,1238,15100,0.6651,2639,0.1162,1237,0.0545,3728,0.1642,1070,420,710,927,18976,4.3,3423,5313,299
py-mine/mcstatus,40,151,121,436,502,345,396,351,224,2062,0.6659999999999999,394,0.1273,54,0.0174,586,0.1893,351,23,85,19,2510,6.69,610,369,59
sylvchev/mdla,0,0,0,933,317,100,933,317,100,2962,0.6367,895,0.1924,307,0.066,488,0.10490000000000001,428,153,193,24,4164,5.63,424,791,22
zsylvester/meanderpy,0,0,0,395,188,30,395,188,30,632,0.6416,271,0.2751,29,0.0294,53,0.0538,361,36,24,5,932,2.63,75,182,15
Bhupesh-V/memer-action,0,0,0,12,1,2,12,1,2,40,0.6779999999999999,3,0.0508,7,0.1186,9,0.1525,10,0,1,1,50,5.29,6,11,5
hanwen/mftrace,0,0,0,421,128,74,421,128,74,1182,0.7061,80,0.0478,91,0.054400000000000004,321,0.1918,367,30,72,16,1353,4.12,235,472,12
ntoll/microrepl,0,0,0,39,12,10,39,12,10,3597,0.9769,22,0.006,32,0.0087,31,0.0084,32,2,14,7,3651,4.35,34,48,3
m-labs/migen,0,0,0,2027,1919,856,2027,1919,856,13797,0.657,3653,0.174,808,0.0385,2742,0.1306,1825,353,544,178,18258,4.91,2187,3185,275
zzbe/mikrocata,0,0,0,61,12,12,61,12,12,260,0.6859999999999999,1,0.0026,29,0.0765,89,0.2348,39,3,14,5,290,6.42,57,160,1
maxmind/minfraud-api-python,117,102,41,374,289,170,257,187,129,1805,0.4144,1872,0.42979999999999996,173,0.0397,506,0.1162,184,26,13,43,3850,6.28,311,303,18
makerdao/mkr-mcd-spec,0,0,0,115,83,38,115,83,38,408,0.7713,0,0.0,49,0.0926,72,0.1361,151,9,31,2,457,3.8,91,148,48
UniNE-CHYN/mmappickle,0,0,0,371,235,152,371,235,152,1480,0.6115999999999999,236,0.0975,229,0.0946,475,0.1963,322,14,90,4,1945,6.6,300,328,7
facebookresearch/mmf,332,1305,325,13075,7502,3053,12743,6197,2728,37061,0.6779999999999999,5966,0.1091,2879,0.0527,8758,0.1602,3065,881,1097,553,45906,7.07,7752,9431,344
moe-serifu-circle/moe-serifu-agent,0,17,17,1158,747,447,1158,730,430,4571,0.6297,820,0.113,233,0.0321,1635,0.22519999999999998,657,52,315,94,5624,5.74,824,931,65
mopidy/mopidy-gmusic,0,0,0,342,310,176,342,310,176,1490,0.738,40,0.019799999999999998,61,0.0302,428,0.212,180,17,105,25,1591,6.32,440,415,30
confirm/mopidy-pummeluff,0,0,0,105,96,45,105,96,45,477,0.43320000000000003,411,0.37329999999999997,2,0.0018,211,0.1916,4,5,8,6,890,8.72,96,88,1
rohanpm/more-executors,0,0,0,925,819,542,925,819,542,4280,0.5618,1024,0.1344,610,0.0801,1705,0.2238,599,111,166,33,5914,7.07,853,751,49
writememe/motherstarter,0,60,24,214,112,71,214,52,47,787,0.3407,1090,0.4719,275,0.11900000000000001,158,0.0684,78,4,73,8,2152,6.85,173,79,15
khurramjaved96/mrcl,0,0,0,1273,509,188,1273,509,188,3300,0.6762,201,0.0412,266,0.0545,1113,0.2281,619,126,149,79,3767,5.69,608,1205,5
nikat/mtproto2json,0,68,34,369,265,139,369,197,105,977,0.7418,61,0.0463,51,0.0387,228,0.17309999999999998,705,55,40,443,1089,0.0,357,471,0
mattgiles/mujson,0,0,0,66,23,8,66,23,8,251,0.5318,90,0.1907,17,0.036000000000000004,114,0.2415,30,1,5,1,358,7.85,57,98,2
tiagocoutinho/multivisor,0,0,0,421,269,185,421,269,185,1673,0.7140000000000001,226,0.0965,44,0.018799999999999997,400,0.1707,265,21,143,46,1943,5.26,375,529,33
MakeMonmouth/mventory,0,0,0,148,29,19,148,29,19,523,0.6286,116,0.1394,42,0.050499999999999996,151,0.1815,81,33,1,26,681,1.61,58,58,13
ChristopherRogers1991/mycroft_routine_skill,0,7,2,124,81,46,124,74,44,404,0.7739,19,0.0364,15,0.0287,84,0.1609,41,8,10,11,438,6.87,98,100,0
exelban/myo-armband-nn,0,0,0,84,14,7,84,14,7,186,0.7099,8,0.0305,1,0.0038,67,0.2557,32,4,6,6,195,5.89,27,49,0
thirtytwobits/nanaimo,0,372,305,665,619,340,665,247,35,3356,0.4727,2042,0.2876,805,0.1134,896,0.12619999999999998,474,35,94,24,6203,6.9,634,876,47
kbsezginel/nanocar-avogadro,0,0,0,149,23,24,149,23,24,438,0.6117,131,0.183,23,0.0321,124,0.1732,63,5,10,7,592,7.17,60,103,3
pinetr2e/napkin,0,0,0,445,373,243,445,373,243,1603,0.7018000000000001,148,0.06480000000000001,64,0.027999999999999997,469,0.2053,429,35,22,3,1815,6.0,319,236,4
nautobot/nautobot-plugin-nornir,0,10,3,140,79,43,140,69,40,256,0.46799999999999997,136,0.2486,54,0.0987,101,0.18460000000000001,12,1,3,13,446,5.42,95,130,2
CodeReclaimers/neat-python,0,0,0,2083,994,518,2083,994,518,6827,0.6103000000000001,916,0.0819,1230,0.11,2213,0.1978,1277,227,163,87,8973,6.54,1701,2518,101
artyomovs/netbox-plugin-config-officer,0,0,0,507,122,65,507,122,65,1763,0.7389,131,0.054900000000000004,79,0.0331,413,0.17309999999999998,364,94,38,69,1973,2.38,220,459,6
openwisp/netdiff,0,0,0,500,240,159,500,240,159,2205,0.7476999999999999,315,0.10679999999999999,137,0.04650000000000001,292,0.099,263,80,73,16,2657,7.24,345,363,16
ghostbsd/networkmgr,0,0,0,194,110,66,194,110,66,781,0.7961,54,0.055,20,0.0204,126,0.1284,160,58,42,2,855,5.81,167,271,45
bashtage/ng-numpy-randomstate,0,3,0,1605,532,435,1605,529,435,5644,0.7009000000000001,774,0.09609999999999999,555,0.0689,1079,0.134,920,81,306,300,6973,3.44,883,1168,22
mattja/nsim,0,0,0,1245,607,240,1245,607,240,3304,0.5033,2170,0.33049999999999996,460,0.0701,631,0.09609999999999999,997,248,151,42,5934,4.41,978,1714,23
paulgear/ntpmon,0,0,0,304,218,146,304,218,146,1609,0.5226,767,0.2491,332,0.10779999999999999,371,0.12050000000000001,285,45,29,8,2708,6.87,391,622,19
hhatto/nude.py,0,0,0,117,30,17,117,30,17,381,0.7354999999999999,26,0.050199999999999995,37,0.07139999999999999,74,0.1429,41,10,14,1,444,7.8,90,193,8
numerai/numerox,0,0,0,1361,481,312,1361,481,312,3710,0.6920000000000001,666,0.1242,161,0.03,824,0.1537,698,84,62,54,4537,6.57,649,1107,46
nuodb/nuodb-python,0,0,0,1468,886,514,1468,886,514,5199,0.6115999999999999,1418,0.1668,398,0.046799999999999994,1486,0.1748,974,117,143,13,7015,7.2,1105,2672,50
Godlander/objmc,0,0,0,139,31,19,139,31,19,366,0.7349,12,0.0241,86,0.1727,34,0.0683,116,11,261,13,464,0.0,54,77,18
opendatacube/odc-stac,108,328,155,1024,531,304,916,203,149,4608,0.5922999999999999,1253,0.1611,566,0.0728,1353,0.1739,451,5,74,201,6427,5.2,974,860,27
csingley/ofxtools,97,308,169,6677,1918,1541,6580,1610,1372,25486,0.6617000000000001,5165,0.1341,1931,0.0501,5933,0.154,2167,217,270,259,32582,7.37,2512,2039,123
okta-awscli/okta-awscli,0,1,0,233,154,51,233,153,51,964,0.7844,69,0.056100000000000004,14,0.011399999999999999,182,0.1481,87,32,20,5,1047,7.88,230,470,31
logston/olimex-ekg-emg,0,0,0,181,34,29,181,34,29,535,0.45799999999999996,157,0.1344,242,0.2072,234,0.2003,72,6,17,8,934,6.96,88,129,5
paretogroup/omni-reports,2,36,6,184,207,82,182,171,76,741,0.701,72,0.0681,2,0.0019,242,0.2289,100,34,15,8,815,6.3,156,104,2
rbaron/omr,0,0,0,57,32,25,57,32,25,176,0.49579999999999996,64,0.18030000000000002,30,0.08449999999999999,85,0.2394,37,0,0,1,270,6.89,17,25,0
onelearn/onelearn,0,0,0,1569,675,274,1569,675,274,5527,0.6285000000000001,1679,0.1909,568,0.0646,1020,0.11599999999999999,821,177,186,102,7774,5.21,705,981,9
k0rnh0li0/onlyfans-dl,0,0,0,100,21,16,100,21,16,274,0.6462,25,0.059000000000000004,52,0.1226,73,0.1722,55,8,17,0,351,6.8,49,110,7
neptune-ai/open-solution-mapping-challenge,0,0,0,1868,1802,573,1868,1802,573,5470,0.7287,578,0.077,114,0.0152,1345,0.17920000000000003,1131,169,302,114,6162,4.92,1048,1547,53
RTimothyEdwards/open_pdks,0,0,0,8334,1167,533,8334,1167,533,24347,0.6786,618,0.0172,5951,0.1659,4963,0.1383,2871,862,1686,81,30916,7.41,6982,20952,67
kengz/openai_lab,0,0,0,966,700,335,966,700,335,3117,0.6533,742,0.1555,172,0.0361,740,0.1551,491,127,110,41,4031,6.2,669,546,259
sphinx-contrib/openapi,0,0,0,689,902,409,689,902,409,6108,0.40979999999999994,6748,0.45270000000000005,271,0.0182,1779,0.1193,281,46,118,58,13127,6.73,742,900,11
openergy/opyplus,0,0,4,1134,750,389,1134,750,385,4257,0.4521,3139,0.3333,748,0.0794,1273,0.1352,495,99,168,48,8144,6.95,1189,1686,182
sanand0/orderedattrdict,0,0,0,129,102,60,129,102,60,509,0.6585,100,0.1294,35,0.0453,129,0.16690000000000002,59,24,30,23,644,5.09,124,105,2
greenbone/ospd-openvas,16,657,350,3222,1791,949,3206,1134,599,9034,0.5801,2645,0.1699,1077,0.0692,2816,0.1808,715,123,3,8,12756,8.67,2052,2581,182
