name,annotated ≥ 20,annotated_ratio,py_code_loc,pylint_convention_msg_norm,pylint_refactor_msg_norm,pylint_warning_msg_norm,pylint_error_msg_norm,cyclomatic_complexity_norm,cognitive_complexity_norm,bug_score_norm
rixwew/pytorch-fm,FALSE,0.001474926,971,0.189495366,0.067971164,0.008238929,0.032955716,0.238928939,0.238928939,0.008238929
sunscrapers/djoser,FALSE,0.001376462,3171,0.145380006,0.02901293,0.022390413,0.076316619,0.140334279,0.07473983,0.020813623
bpozdena/OneDriveGUI,FALSE,0.001333333,2205,0.239455782,0.023129252,0.395918367,0.013151927,0.097959184,0.138321995,0.003174603
wvangansbeke/Unsupervised-Semantic-Segmentation,FALSE,0.001305483,2605,0.265642994,0.065642994,0.032245681,0.072168906,0.201535509,0.293666027,0.001151631
auspex-labs/sflow-collector,FALSE,0.001265823,1292,0.061145511,0.017801858,0.003095975,0,0.132352941,0.061919505,0.005417957
Martmists-GH/asynctwitch,FALSE,0.001237624,1216,0.203947368,0.020559211,0.070723684,0.032072368,0.256578947,0.421052632,0.013157895
bashtage/ng-numpy-randomstate,FALSE,0.001166407,5644,0.163004961,0.014351524,0.054216867,0.053153792,0.156449327,0.206945429,0.003897945
Dogeek/rpg-text,FALSE,0.001150748,2594,0.190439476,0.025057826,0.029683886,0.00231303,0.302621434,0.290670779,0.005011565
tomerfiliba-org/rpyc,FALSE,0.001106195,6084,0.140861275,0.022682446,0.054404997,0.012163051,0.242932281,0.343852728,0.025805391
sdepy/sdepy,FALSE,0.001030662,5975,0.267782427,0.022594142,0.096401674,0.023430962,0.154476987,0.232301255,0.001004184
lucidrains/vit-pytorch,FALSE,0.000973236,4821,0.275461523,0.088570836,0.028209915,0.034017839,0.15826592,0.109728272,0.006222775
readthedocs/ethical-ad-server,FALSE,0.000817127,17747,0.086944272,0.016059052,0.007888657,0.033583141,0.109652336,0.105933397,0.005578408
modoboa/modoboa-amavis,FALSE,0.000794913,2847,0.074464348,0.017211099,0.02739726,0.038637162,0.144362487,0.205830699,0.015103618
pyFFTW/pyFFTW,FALSE,0.000662983,8239,0.166525064,0.037504552,0.036048064,0.03131448,0.17222964,0.313023425,0.014200753
adrienverge/localstripe,FALSE,0.000642674,2867,0.140216254,0.040111615,0.138123474,0.002441577,0.37391001,0.608650157,0.023718172
druid-io/pydruid,FALSE,0.000578369,2899,0.145567437,0.029320455,0.031045188,0.003794412,0.212487065,0.143497758,0.012073129
